title,review,rating,role,date,company,full_text,cleaned_text,token_count,processed_text,rating_num
"""Mission driven - feel so motivated ""","Great culture 
Low politics
Every one is smart and supportive WL balance is meh 🫤 
But I don’t care about WLB so much",5.0,Engineer Associate,March 12 2026,anthropic,"""Mission driven - feel so motivated "". Great culture 
Low politics
Every one is smart and supportive WL balance is meh 🫤 
But I don’t care about WLB so much",mission driven feel so motivated . great culture low politics every one is smart and supportive wl balance is meh but i don t care about wlb so much,16,mission driven feel motivated culture low politics every one smart supportive balance meh care wlb much,5.0
"""Cool place to work""","Compensation & benefits are fantastic, a lot of very smart colleagues with low egos, good culture Not letting WLB escape you can be hard. There’s so much to do and it seldom fits into the confines of a 40 hr work week. Even though the company encourages WLB, it’s hard when you feel like you have to constantly grind to keep up with the high 
volumes",5.0,Finance,January 30 2026,anthropic,"""Cool place to work"". Compensation & benefits are fantastic, a lot of very smart colleagues with low egos, good culture Not letting WLB escape you can be hard. There’s so much to do and it seldom fits into the confines of a 40 hr work week. Even though the company encourages WLB, it’s hard when you feel like you have to constantly grind to keep up with the high 
volumes","cool place to work . compensation benefits are fantastic, a lot of very smart colleagues with low egos, good culture not letting wlb escape you can be hard. there s so much to do and it seldom fits into the confines of a 40 hr work week. even though the company encourages wlb, it s hard when you feel like you have to constantly grind to keep up with the high volumes",32,cool place compensation benefit fantastic lot smart colleague low ego culture letting wlb escape hard much seldom fit confines week even though encourages wlb hard feel like constantly grind keep high volume,5.0
"""Best company I’ve ever worked at""",Culture values integrity and entrepreneurial spirit. You are valued by your contributions above all else. Lack of consistent product vision results in waste across the org or projects getting killed down the line. But it’s worth it to enable the culture of innovation.,5.0,"Software Engineer, Applications",January 3 2026,anthropic,"""Best company I’ve ever worked at"". Culture values integrity and entrepreneurial spirit. You are valued by your contributions above all else. Lack of consistent product vision results in waste across the org or projects getting killed down the line. But it’s worth it to enable the culture of innovation.",best company i ve ever worked at . culture values integrity and entrepreneurial spirit. you are valued by your contributions above all else. lack of consistent product vision results in waste across the org or projects getting killed down the line. but it s worth it to enable the culture of innovation.,27,best ever worked culture value integrity entrepreneurial spirit valued contribution else lack consistent product vision result waste across org project getting killed line worth enable culture innovation,5.0
"""Very fast and chaotic but people are valued.""","On the forefront; transparency from Dario and Daniela.  Culture and values are so focused on that we generally hire people who want to help each other (low ego and high humility).  People are there for the mission and not themselves which is very rare in tech. Chaotic - trying to do everything all at once so many conflicting priorities.
Some leaders need to get a backbone to say no and manage out under performing people.",5.0,Recruiter,December 21 2025,anthropic,"""Very fast and chaotic but people are valued."". On the forefront; transparency from Dario and Daniela.  Culture and values are so focused on that we generally hire people who want to help each other (low ego and high humility).  People are there for the mission and not themselves which is very rare in tech. Chaotic - trying to do everything all at once so many conflicting priorities.
Some leaders need to get a backbone to say no and manage out under performing people.",very fast and chaotic but people are valued. . on the forefront transparency from dario and daniela. culture and values are so focused on that we generally hire people who want to help each other low ego and high humility . people are there for the mission and not themselves which is very rare in tech. chaotic trying to do everything all at once so many conflicting priorities. some leaders need to get a backbone to say no and manage out under performing people.,34,fast chaotic valued forefront transparency dario daniela culture value focused generally hire want help low ego high humility mission rare tech chaotic trying everything many conflicting priority leader need get backbone say manage performing,5.0
"""wouldn’t work anywhere else""","really good internal culture for its size, amazing people, very cool problems. will probably be my last job. big company now. more politics and processes. culture has degraded a lil bit but still excellent. we also don’t pay that great outside ml roles.",5.0,Research Engineer,December 18 2025,anthropic,"""wouldn’t work anywhere else"". really good internal culture for its size, amazing people, very cool problems. will probably be my last job. big company now. more politics and processes. culture has degraded a lil bit but still excellent. we also don’t pay that great outside ml roles.","wouldn t work anywhere else . really good internal culture for its size, amazing people, very cool problems. will probably be my last job. big company now. more politics and processes. culture has degraded a lil bit but still excellent. we also don t pay that great outside ml roles.",24,anywhere else really internal culture size amazing cool problem probably last big politics process culture degraded lil bit still excellent also pay outside role,5.0
"""it’s fine""","Great comp, smart people, interesting work, at forefront of ai revolution, mission driven strange culture unlike anything I’ve ever seen, unclear who thrives here",4.0,Product Manager,December 14 2025,anthropic,"""it’s fine"". Great comp, smart people, interesting work, at forefront of ai revolution, mission driven strange culture unlike anything I’ve ever seen, unclear who thrives here","it s fine . great comp, smart people, interesting work, at forefront of ai revolution, mission driven strange culture unlike anything i ve ever seen, unclear who thrives here",16,fine comp smart interesting forefront revolution mission driven strange culture unlike anything ever seen unclear thrives,4.0
"""Problems as we scale, but 3 years in and still the best place I’ve worked""","- Incredible autonomy to do the work you feel is most important
- mission alignment is a real thing. If you’ve never worked at a company driving toward an outcome bigger than “making money,” then I don’t think you’d really understand what this means or feels like, but it’s probably why retention is so high. 
- high trust in colleagues and founders. The founders make principled decisions. I trust them more than any other company leadership I’ve had in the past.  I think DDJ do a good job stress testing and pushing back on each other to come to a decision - Some teams have scope creep, some teams don’t have clear deliverables, some teams don’t really make sense at all 
- has become more political overtime, but I don’t know if that’s avoidable 
-some of the executives seem unqualified for their roles mostly because they’ve never done this before and/or don’t seem to know what they’re doing",5.0,"Engineer, Senior",December 12 2025,anthropic,"""Problems as we scale, but 3 years in and still the best place I’ve worked"". - Incredible autonomy to do the work you feel is most important
- mission alignment is a real thing. If you’ve never worked at a company driving toward an outcome bigger than “making money,” then I don’t think you’d really understand what this means or feels like, but it’s probably why retention is so high. 
- high trust in colleagues and founders. The founders make principled decisions. I trust them more than any other company leadership I’ve had in the past.  I think DDJ do a good job stress testing and pushing back on each other to come to a decision - Some teams have scope creep, some teams don’t have clear deliverables, some teams don’t really make sense at all 
- has become more political overtime, but I don’t know if that’s avoidable 
-some of the executives seem unqualified for their roles mostly because they’ve never done this before and/or don’t seem to know what they’re doing","problems as we scale, but 3 years in and still the best place i ve worked . incredible autonomy to do the work you feel is most important mission alignment is a real thing. if you ve never worked at a company driving toward an outcome bigger than making money, then i don t think you d really understand what this means or feels like, but it s probably why retention is so high. high trust in colleagues and founders. the founders make principled decisions. i trust them more than any other company leadership i ve had in the past. i think ddj do a good job stress testing and pushing back on each other to come to a decision some teams have scope creep, some teams don t have clear deliverables, some teams don t really make sense at all has become more political overtime, but i don t know if that s avoidable some of the executives seem unqualified for their roles mostly because they ve never done this before and or don t seem to know what they re doing",75,problem scale year still best place worked incredible autonomy feel important mission alignment real thing never worked driving toward outcome bigger making money think really understand mean feel like probably retention high high trust colleague founder founder make principled decision trust leadership past think ddj stress testing pushing back come decision team scope creep team clear deliverable team really make sense become political overtime know avoidable executive seem unqualified role mostly never done seem know,5.0
"""fast paced and chaotic but lots of fun""","- smart people
- high impact
- little politics
- people just want to build things - intense
- very high expectations from everyone
- can be stressful if you don’t know how to manage boundaries",5.0,Technical Staff,November 23 2025,anthropic,"""fast paced and chaotic but lots of fun"". - smart people
- high impact
- little politics
- people just want to build things - intense
- very high expectations from everyone
- can be stressful if you don’t know how to manage boundaries",fast paced and chaotic but lots of fun . smart people high impact little politics people just want to build things intense very high expectations from everyone can be stressful if you don t know how to manage boundaries,21,fast paced chaotic lot fun smart high impact little politics want build thing intense high expectation everyone stressful know manage boundary,5.0
"""Great place to be ""","Love working here, don’t envision leaving anytime soon and am excited about the future! Do not come here if you want to coast, it is a ton of work.",5.0,Technical Staff,October 10 2025,anthropic,"""Great place to be "". Love working here, don’t envision leaving anytime soon and am excited about the future! Do not come here if you want to coast, it is a ton of work.","great place to be . love working here, don t envision leaving anytime soon and am excited about the future! do not come here if you want to coast, it is a ton of work.",13,place love working envision leaving anytime soon excited future come want coast ton,5.0
"""once in a lifetime opportunity""","talent density across the company is great. awesome autonomy/trust. access to work worth doing. not individualistic at all sometimes a bit of a hive mind, can be contrarian / abrasive at times. wl balance difficulty is real but manageable",5.0,Software Engineer,October 7 2025,anthropic,"""once in a lifetime opportunity"". talent density across the company is great. awesome autonomy/trust. access to work worth doing. not individualistic at all sometimes a bit of a hive mind, can be contrarian / abrasive at times. wl balance difficulty is real but manageable","once in a lifetime opportunity . talent density across the company is great. awesome autonomy trust. access to work worth doing. not individualistic at all sometimes a bit of a hive mind, can be contrarian abrasive at times. wl balance difficulty is real but manageable",22,lifetime opportunity talent density across awesome autonomy trust access worth individualistic sometimes bit hive mind contrarian abrasive time balance difficulty real manageable,5.0
"""Fantastic company""",Good perks great food love the CEO! High potential in equity Work life balance can be not great if you’re on the wrong projects,5.0,Software Developer,September 26 2025,anthropic,"""Fantastic company"". Good perks great food love the CEO! High potential in equity Work life balance can be not great if you’re on the wrong projects",fantastic company . good perks great food love the ceo! high potential in equity work life balance can be not great if you re on the wrong projects,12,fantastic perk food love ceo high potential equity life balance wrong project,5.0
